temp_C,R_center_kohm,Vaux_mV_VREF2_3000_Rpull_6k8
-55,583.542,2965.4
-54,554.647,2963.7
-53,526.968,2961.8
-52,500.480,2959.8
-51,475.159,2957.7
-50,450.974,2955.4
-49,427.897,2953.1
-48,405.892,2950.6
-47,384.927,2947.9
-46,364.967,2945.1
-45,345.975,2942.2
-44,327.915,2939.1
-43,310.751,2935.8
-42,294.448,2932.3
-41,278.969,2928.6
-40,264.279,2924.7
-39,250.344,2920.7
-38,237.130,2916.4
-37,224.603,2911.8
-36,212.733,2907.1
-35,201.487,2902.1
-34,190.836,2896.8
-33,180.750,2891.2
-32,171.201,2885.4
-31,162.163,2879.3
-30,153.610,2872.8
-29,145.516,2866.1
-28,137.858,2859.0
-27,130.614,2851.5
-26,123.761,2843.8
-25,117.280,2835.6
-24,111.149,2827.0
-23,105.351,2818.1
-22,99.867,2808.8
-21,94.681,2799.0
-20,89.776,2788.8
-19,85.137,2778.1
-18,80.750,2767.0
-17,76.600,2755.4
-16,72.676,2743.3
-15,68.963,2730.7
-14,65.451,2717.7
-13,62.129,2704.0
-12,58.986,2689.9
-11,56.012,2675.2
-10,53.198,2660.0
-9,50.534,2644.2
-8,48.013,2627.8
-7,45.627,2610.9
-6,43.368,2593.4
-5,41.229,2575.3
-4,39.204,2556.6
-3,37.285,2537.3
-2,35.468,2517.4
-1,33.747,2496.9
0,32.116,2475.8
1,30.570,2454.1
2,29.105,2431.8
3,27.716,2409.0
4,26.399,2385.5
5,25.150,2361.5
6,23.965,2336.9
7,22.842,2311.8
8,21.776,2286.1
9,20.764,2259.9
10,19.783,2232.6
11,18.892,2206.0
12,18.026,2178.3
13,17.204,2150.1
14,16.423,2121.6
15,15.681,2092.6
16,14.976,2063.2
17,14.306,2033.5
18,13.669,2003.4
19,13.063,1973.0
20,12.487,1942.3
21,11.939,1911.4
22,11.418,1880.2
23,10.921,1848.8
24,10.449,1817.3
25,10.000,1785.7
26,9.571,1753.9
27,9.164,1722.1
28,8.775,1690.2
29,8.405,1658.3
30,8.052,1626.4
31,7.716,1594.7
32,7.396,1563.0
33,7.090,1531.3
34,6.798,1499.8
35,6.520,1468.5
36,6.255,1437.4
37,6.002,1406.5
38,5.760,1375.8
39,5.529,1345.4
40,5.309,1315.3
41,5.098,1285.4
42,4.897,1256.0
43,4.704,1226.7
44,4.521,1198.0
45,4.345,1169.6
46,4.177,1141.6
47,4.016,1113.9
48,3.863,1086.8
49,3.716,1060.1
50,3.588,1036.2
51,3.440,1007.8
52,3.311,982.4
53,3.188,957.5
54,3.069,932.9
55,2.956,909.0
56,2.848,885.6
57,2.744,862.5
58,2.644,839.9
59,2.548,817.7
60,2.457,796.3
61,2.369,775.1
62,2.284,754.3
63,2.204,734.3
64,2.126,714.5
65,2.051,695.2
66,1.980,676.5
67,1.911,658.1
68,1.845,640.3
69,1.782,622.9
70,1.721,605.9
71,1.663,589.5
72,1.606,573.2
73,1.552,557.5
74,1.500,542.2
75,1.450,527.3
76,1.402,512.8
77,1.356,498.8
78,1.312,485.2
79,1.269,471.8
80,1.228,458.9
81,1.188,446.2
82,1.150,434.0
83,1.113,422.0
84,1.078,410.5
85,1.044,399.3
86,1.011,388.3
87,0.979,377.6
88,0.948,367.1
89,0.919,357.2
90,0.891,347.5
91,0.863,337.9
92,0.837,328.8
93,0.811,319.7
94,0.787,311.2
95,0.763,302.7
96,0.740,294.4
97,0.718,286.5
98,0.697,278.9
99,0.676,271.3
100,0.657,264.3
101,0.637,257.0
102,0.619,250.3
103,0.601,243.6
104,0.584,237.3
105,0.567,230.9
106,0.551,224.9
107,0.535,218.8
108,0.520,213.1
109,0.505,207.4
110,0.491,202.0
111,0.477,196.6
112,0.464,191.6
113,0.451,186.6
114,0.439,181.9
115,0.427,177.3
116,0.415,172.6
117,0.404,168.2
118,0.393,163.9
119,0.383,160.0
120,0.373,156.0
121,0.363,152.0
122,0.353,148.0
123,0.344,144.5
124,0.335,140.9
125,0.326,137.2
